"ResourceType","TerraformName","MicrosoftProvider","APIVersions","MappingSource","DocumentationPath"
"DataSource","azurerm_cosmosdb_mongo_database","Microsoft.DocumentDB","2024-08-15","GeneratedAPISection","website/docs/d/cosmosdb_mongo_database.html.markdown"
"DataSource","azurerm_cosmosdb_restorable_database_accounts","Microsoft.DocumentDB","2024-08-15","GeneratedAPISection","website/docs/d/cosmosdb_restorable_database_accounts.html.markdown"
"DataSource","azurerm_cosmosdb_sql_database","Microsoft.DocumentDB","2024-08-15","GeneratedAPISection","website/docs/d/cosmosdb_sql_database.html.markdown"
"DataSource","azurerm_cosmosdb_sql_role_definition","Microsoft.DocumentDB","2024-08-15","GeneratedAPISection","website/docs/d/cosmosdb_sql_role_definition.html.markdown"
"DataSource","azurerm_dashboard_grafana","Microsoft.Dashboard","2025-08-01","GeneratedAPISection","website/docs/d/dashboard_grafana.html.markdown"
"DataSource","azurerm_data_factory","Microsoft.DataFactory","2018-06-01","GeneratedAPISection","website/docs/d/data_factory.html.markdown"
"DataSource","azurerm_data_factory_trigger_schedule","Microsoft.DataFactory","","MatchingResource:ARMImportID","website/docs/d/data_factory_trigger_schedule.html.markdown"
"DataSource","azurerm_data_factory_trigger_schedules","","","Unmapped","website/docs/d/data_factory_trigger_schedules.html.markdown"
"DataSource","azurerm_data_protection_backup_vault","Microsoft.DataProtection","2025-07-01","GeneratedAPISection","website/docs/d/data_protection_backup_vault.html.markdown"
"DataSource","azurerm_data_share","Microsoft.DataShare","2019-11-01","GeneratedAPISection","website/docs/d/data_share.html.markdown"
"DataSource","azurerm_data_share_account","Microsoft.DataShare","2019-11-01","GeneratedAPISection","website/docs/d/data_share_account.html.markdown"
"DataSource","azurerm_data_share_dataset_blob_storage","Microsoft.DataShare","2019-11-01","GeneratedAPISection","website/docs/d/data_share_dataset_blob_storage.html.markdown"
"DataSource","azurerm_data_share_dataset_data_lake_gen2","Microsoft.DataShare","2019-11-01","GeneratedAPISection","website/docs/d/data_share_dataset_data_lake_gen2.html.markdown"
"DataSource","azurerm_data_share_dataset_kusto_cluster","Microsoft.DataShare","2019-11-01","GeneratedAPISection","website/docs/d/data_share_dataset_kusto_cluster.html.markdown"
"DataSource","azurerm_data_share_dataset_kusto_database","Microsoft.DataShare","2019-11-01","GeneratedAPISection","website/docs/d/data_share_dataset_kusto_database.html.markdown"
"DataSource","azurerm_database_migration_project","Microsoft.DataMigration","2021-06-30","GeneratedAPISection","website/docs/d/database_migration_project.html.markdown"
"DataSource","azurerm_database_migration_service","Microsoft.DataMigration","2021-06-30","GeneratedAPISection","website/docs/d/database_migration_service.html.markdown"
"DataSource","azurerm_databox_edge_device","Microsoft.DataBoxEdge","2022-03-01","GeneratedAPISection","website/docs/d/databox_edge_device.html.markdown"
"DataSource","azurerm_databricks_access_connector","Microsoft.Databricks","2026-01-01","GeneratedAPISection","website/docs/d/databricks_access_connector.html.markdown"
"DataSource","azurerm_databricks_workspace","Microsoft.Databricks","2026-01-01","GeneratedAPISection","website/docs/d/databricks_workspace.html.markdown"
"DataSource","azurerm_databricks_workspace_private_endpoint_connection","Microsoft.Databricks","2026-01-01","GeneratedAPISection","website/docs/d/databricks_workspace_private_endpoint_connection.html.markdown"
"DataSource","azurerm_dedicated_host","Microsoft.Compute","2024-03-01","GeneratedAPISection","website/docs/d/dedicated_host.html.markdown"
"DataSource","azurerm_dedicated_host_group","Microsoft.Compute","2024-03-01","GeneratedAPISection","website/docs/d/dedicated_host_group.html.markdown"
"DataSource","azurerm_dev_center","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center.html.markdown"
"DataSource","azurerm_dev_center_attached_network","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_attached_network.html.markdown"
"DataSource","azurerm_dev_center_catalog","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_catalog.html.markdown"
"DataSource","azurerm_dev_center_dev_box_definition","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_dev_box_definition.html.markdown"
"DataSource","azurerm_dev_center_environment_type","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_environment_type.html.markdown"
"DataSource","azurerm_dev_center_gallery","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_gallery.html.markdown"
"DataSource","azurerm_dev_center_network_connection","Microsoft.DevCenter","2025-02-01","GeneratedAPISection","website/docs/d/dev_center_network_connection.html.markdown"
